,date,ft
359,2014-09-08,0
550,2014-09-19,0
505,2014-10-15,0
564,2014-10-17,0
822,2014-10-29,0
1251,2014-10-30,0
292,2014-11-17,0
373,2014-11-18,0
55,2014-11-19,0
66,2014-11-19,0
629,2014-11-24,0
986,2014-11-25,0
1011,2014-12-01,0
717,2014-12-02,0
116,2014-12-09,0
618,2014-12-12,0
752,2014-12-12,0
900,2014-12-15,0
1171,2014-12-22,0
1329,2014-12-29,0
1331,2015-01-07,0
321,2015-01-08,0
722,2015-01-09,0
336,2015-01-12,0
1093,2015-01-20,0
580,2015-01-23,0
206,2015-01-23,0
1002,2015-01-27,0
75,2015-01-28,0
1149,2015-01-29,0
858,2015-02-03,0
470,2015-02-05,0
122,2015-02-17,0
586,2015-03-02,0
480,2015-03-11,0
89,2015-03-16,0
1159,2015-03-16,0
169,2015-03-17,0
455,2015-03-18,0
980,2015-03-24,0
549,2015-03-30,0
1049,2015-04-01,0
436,2015-04-07,0
999,2015-04-13,0
512,2015-04-28,0
975,2015-05-01,0
542,2015-05-04,0
412,2015-05-11,0
467,2015-05-21,0
939,2015-05-29,0
818,2015-06-02,0
684,2015-06-08,0
775,2015-06-10,0
1347,2015-06-18,0
1316,2015-06-22,0
790,2015-06-22,0
332,2015-06-25,0
232,2015-06-29,0
695,2015-06-30,0
941,2015-07-07,0
1077,2015-07-08,0
568,2015-07-10,0
287,2015-07-10,0
547,2015-07-17,0
831,2015-07-31,0
462,2015-07-31,0
983,2015-08-06,0
16,2015-08-25,0
1327,2015-08-28,0
835,2015-08-31,0
698,2015-09-10,0
10,2015-09-25,0
376,2015-09-25,0
608,2015-10-02,0
557,2015-10-13,0
816,2015-10-14,0
1221,2015-10-19,0
668,2015-10-26,0
670,2015-10-29,0
45,2015-11-03,0
926,2015-11-03,0
584,2015-11-03,0
651,2015-11-09,0
1253,2015-11-09,0
548,2015-11-18,0
805,2015-11-18,0
475,2015-11-25,0
128,2015-12-07,0
468,2015-12-07,0
11,2015-12-16,0
271,2016-01-08,0
781,2016-01-08,0
189,2016-01-13,0
1131,2016-01-22,0
38,2016-01-22,0
414,2016-01-27,0
1109,2016-01-27,0
72,2016-01-27,0
1020,2016-01-27,0
1154,2016-02-02,0
591,2016-02-19,0
796,2016-02-23,0
299,2016-02-23,0
553,2016-03-04,0
1013,2016-03-04,0
1349,2016-03-11,0
739,2016-03-16,0
85,2016-03-16,0
1160,2016-03-29,0
252,2016-04-01,0
1173,2016-04-01,0
148,2016-04-07,0
518,2016-04-07,0
49,2016-04-11,0
758,2016-04-22,0
1258,2016-04-22,0
204,2016-04-26,0
253,2016-05-06,0
1146,2016-05-06,0
1189,2016-05-17,0
447,2016-06-02,0
1245,2016-06-10,0
1008,2016-06-10,0
1280,2016-06-16,0
1083,2016-06-21,0
159,2016-06-27,0
513,2016-06-27,0
848,2016-06-30,0
1015,2016-07-01,0
871,2016-07-01,0
711,2016-07-11,0
808,2016-07-15,0
1069,2016-07-15,0
1099,2016-07-15,0
1123,2016-07-15,0
13,2016-07-17,0
1346,2016-07-17,0
697,2016-07-17,0
274,2016-07-22,0
1105,2016-07-22,0
868,2016-07-29,0
123,2016-08-01,0
708,2016-08-01,0
1091,2016-08-11,0
646,2016-08-11,0
382,2016-08-25,0
613,2016-08-26,0
677,2016-08-26,0
1140,2016-09-01,0
220,2016-09-01,0
417,2016-09-10,0
903,2016-09-12,0
1332,2016-09-12,0
902,2016-09-12,0
425,2016-09-12,0
87,2016-09-14,0
312,2016-09-14,0
701,2016-09-16,0
922,2016-09-17,0
278,2016-09-18,0
141,2016-09-19,0
543,2016-09-21,0
648,2016-09-23,0
682,2016-09-26,0
275,2016-09-26,0
1191,2016-09-27,0
1009,2016-09-27,0
451,2016-10-07,0
228,2016-10-07,0
1051,2016-10-10,0
483,2016-10-10,0
22,2016-10-13,0
733,2016-10-13,0
908,2016-10-14,0
841,2016-10-14,0
855,2016-10-16,0
1021,2016-10-16,0
1024,2016-10-20,0
731,2016-10-20,0
210,2016-10-20,0
725,2016-10-20,0
1232,2016-10-22,0
928,2016-10-22,0
641,2016-10-27,0
496,2016-10-28,0
757,2016-10-28,0
209,2016-10-31,0
1272,2016-10-31,0
415,2016-11-05,0
14,2016-11-05,0
631,2016-11-11,0
337,2016-11-11,0
95,2016-11-18,0
1206,2016-11-24,0
277,2016-12-08,0
813,2016-12-09,0
216,2016-12-09,0
105,2016-12-12,0
1038,2016-12-12,0
1007,2016-12-13,0
420,2016-12-13,0
921,2017-01-11,0
372,2017-01-11,0
546,2017-01-11,0
347,2017-01-11,0
156,2017-01-20,8
1300,2017-01-28,9
1241,2017-01-30,8
836,2017-02-02,9
229,2017-02-06,17
935,2017-02-09,10
65,2017-02-09,10
482,2017-02-14,0
1070,2017-02-14,0
661,2017-02-14,9
982,2017-02-15,19
647,2017-02-15,0
119,2017-02-16,10
927,2017-02-16,9
364,2017-02-17,15
433,2017-02-21,10
231,2017-02-21,10
404,2017-02-26,11
103,2017-02-27,11
188,2017-03-02,11
948,2017-03-07,0
237,2017-03-07,0
730,2017-03-08,12
1359,2017-03-08,12
473,2017-03-10,12
863,2017-03-17,12
408,2017-03-21,0
649,2017-03-24,12
388,2017-03-27,0
590,2017-03-28,0
537,2017-03-28,12
34,2017-03-28,0
27,2017-03-28,12
157,2017-04-03,12
971,2017-04-03,12
456,2017-04-06,12
1018,2017-04-17,13
721,2017-04-19,12
1247,2017-04-19,12
724,2017-04-19,12
302,2017-04-20,0
1177,2017-04-20,0
410,2017-04-20,0
819,2017-04-27,0
1030,2017-04-27,0
764,2017-05-02,12
1263,2017-05-05,12
940,2017-05-05,13
1360,2017-05-09,18
445,2017-05-10,12
324,2017-05-10,12
1012,2017-05-12,41
883,2017-05-15,12
223,2017-05-15,12
981,2017-05-17,12
985,2017-05-18,12
33,2017-05-19,12
1281,2017-05-23,17
523,2017-05-24,13
310,2017-05-25,15
612,2017-06-01,16
